,strategyname,contract,entryprice,orderoffset,orderdirection,orderqty,ordertime,closetime,closeprice,closestatus,PNL,comdt,pal
34,DT_IntraDayCommonStrategy,HC2001,3554.0,开仓,空,2,2019-08-16 09:12:18,,0.0,0,0,HC,0.0
35,DT_IntraDayCommonStrategy,I2001,688.5,开仓,空,1,2019-08-16 09:10:18,2019-08-30 14:42:59.991305,601.5,1,0,I,8700.0
36,DT_IntraDayCommonStrategy,I2001,601.5,开仓,多,1,2019-08-30 14:43:00.002624,,0.0,0,0,I,0.0
37,DT_IntraDayCommonStrategy,RB1910,3747.0,开仓,多,2,2019-08-16 09:17:18,2019-08-26 13:31:00.139633,3665.0,1,0,RB,-820.0
38,DT_IntraDayCommonStrategy,RB1910,3665.0,开仓,空,2,2019-08-26 13:31:00.177882,2019-08-27 09:21:18,3590.0,1,0,RB,750.0
39,DT_IntraDayCommonStrategy,RB2001,3293.0,开仓,空,2,2019-08-27 09:22:18,2019-09-02 14:52:00.130906,3412.0,1,0,RB,-1190.0
40,DT_IntraDayCommonStrategy,RB2001,3412.0,开仓,多,3,2019-09-02 14:52:00.140969,,0.0,0,0,RB,0.0
41,DT_IntraDayCommonStrategy,T1912,98.79,开仓,多,1,2019-08-16 09:11:18,2019-08-27 09:25:18,98.79,1,0,T,0.0
42,DT_IntraDayCommonStrategy,T1912,98.79,开仓,多,1,2019-08-27 09:26:18,2019-08-27 10:30:01.160444,98.79,1,0,T,0.0
43,DT_IntraDayCommonStrategy,T1912,98.79,开仓,空,1,2019-08-27 10:30:01.173137,2019-08-28 09:26:18,98.995,1,0,T,-2050.0
44,DT_IntraDayCommonStrategy,T1912,98.93,开仓,多,1,2019-08-28 09:27:18,,0.0,0,0,T,0.0
45,JDualThrust_IntraDayStrategy,J2001,1973.0,开仓,空,1,2019-08-16 09:08:18,2019-09-05 09:36:00.952475,1948.0,1,0,J,2500.0
46,JDualThrust_IntraDayStrategy,J2001,1948.0,开仓,多,1,2019-09-05 09:36:00.970384,,0.0,0,0,J,0.0
